"sr_no","inclination","ambient_temp","speed","weight","battery_level","battery temperature","time","Battery_rating","charging_cycle","acceleration","battery_current","battery_voltage","humidity"
"16639","-6.24","0","0","4.27","0","23.92","9245","10000","1","-0.19","0","12","0"
"16640","-6.24","0","0","4.27","0","23.92","9245","10000","1","-0.19","0","12","0"
"16641","-4.54","0","0","11.11","0","24.66","18152","10000","1","-0.2","0","12","0"
"16642","-4.96","0","0","-0.58","0","24.94","19694","10000","1","-0.2","0","12","0"
"16643","-4.4","0","0","-3.05","0","24.2","27465","10000","1","-0.19","0","12","0"
"16644","-5.41","0","0","5.96","0","22.56","29364","10000","1","-0.21","0","12","0"
"16645","-5.41","0","0","5.96","0","22.56","29364","10000","1","-0.21","0","12","0"
"16646","-5.41","0","0","5.96","0","22.56","29364","10000","1","-0.21","0","12","0"
"16647","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16648","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16649","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16650","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16651","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16652","12.53","0","0","325.13","0","22.19","75071","10000","1","-0.11","0","12","0"
"16653","4.27","0","0","519.71","0","21.92","78810","10000","1","-0.1","0","12","0"
"16654","-2.79","0","0","511.77","0","24.47","81259","10000","1","-0.08","0","12","0"
"16655","0.38","0","0","533.92","0","22.19","87567","10000","1","-0.35","0","12","0"
"16656","0.38","0","0","533.92","0","22.19","87567","10000","1","-0.35","0","12","0"
"16657","0.38","0","0","524.56","0","26.17","95268","10000","1","-0.09","0","12","0"
"16658","-3.29","34","0","-1.39","0","22.65","602","10000","1","-0.09","0","12","45.7"
"16659","-3.29","34","0","-1.39","0","22.65","602","10000","1","-0.09","0","12","45.7"
"16660","-6.42","0","0","-11.21","0","25.31","5703","10000","1","-0.08","0","12","0"
"16661","-5.52","0","0","-5.9","0","23.1","6892","10000","1","-0.08","0","12","0"
"16662","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16663","0","0","0","0","0","0","0","10000","0","0","0","0","0"
"16664","30.04","0","0","-48.25","0","25.5","11735","10000","1","4.24","1.49","11.56","0"
